vid_id,frame_order,x_nose,y_nose,z_nose,x_left_eye_inner,y_left_eye_inner,z_left_eye_inner,x_left_eye,y_left_eye,z_left_eye,x_left_eye_outer,y_left_eye_outer,z_left_eye_outer,x_right_eye_inner,y_right_eye_inner,z_right_eye_inner,x_right_eye,y_right_eye,z_right_eye,x_right_eye_outer,y_right_eye_outer,z_right_eye_outer,x_left_ear,y_left_ear,z_left_ear,x_right_ear,y_right_ear,z_right_ear,x_mouth_left,y_mouth_left,z_mouth_left,x_mouth_right,y_mouth_right,z_mouth_right,x_left_shoulder,y_left_shoulder,z_left_shoulder,x_right_shoulder,y_right_shoulder,z_right_shoulder,x_left_elbow,y_left_elbow,z_left_elbow,x_right_elbow,y_right_elbow,z_right_elbow,x_left_wrist,y_left_wrist,z_left_wrist,x_right_wrist,y_right_wrist,z_right_wrist,x_left_pinky_1,y_left_pinky_1,z_left_pinky_1,x_right_pinky_1,y_right_pinky_1,z_right_pinky_1,x_left_index_1,y_left_index_1,z_left_index_1,x_right_index_1,y_right_index_1,z_right_index_1,x_left_thumb_2,y_left_thumb_2,z_left_thumb_2,x_right_thumb_2,y_right_thumb_2,z_right_thumb_2,x_left_hip,y_left_hip,z_left_hip,x_right_hip,y_right_hip,z_right_hip,x_left_knee,y_left_knee,z_left_knee,x_right_knee,y_right_knee,z_right_knee,x_left_ankle,y_left_ankle,z_left_ankle,x_right_ankle,y_right_ankle,z_right_ankle,x_left_heel,y_left_heel,z_left_heel,x_right_heel,y_right_heel,z_right_heel,x_left_foot_index,y_left_foot_index,z_left_foot_index,x_right_foot_index,y_right_foot_index,z_right_foot_index
307,0,-44.987354,-17.329926,-12.206734,-47.342365,-16.279156,-10.301065,-47.439255,-16.097746,-10.290571,-47.545578,-15.887268,-10.280169,-47.6589,-15.270739,-18.056479,-47.940056,-14.380522,-18.046667,-48.203968,-13.448036,-18.038454,-47.904755,-10.93579,6.8565025,-48.518284,-7.906355,-29.196476,-42.87314,-14.5653305,-4.876578,-43.121334,-13.361393,-15.359263,-37.61512,-1.4307331,26.598396,-42.221607,6.5392656,-33.277447,-52.014126,-11.951334,53.042976,-59.094543,13.905459,-40.827053,-52.711823,0.7306853,65.68109,-54.7989,6.074824,0.3256176,-54.17722,3.4900885,64.64116,-54.35477,5.2938924,-0.029080873,-53.400658,3.9341588,63.559032,-52.33661,4.8989773,3.6373205,-52.418148,3.0961936,63.783558,-52.25335,5.1740575,2.329316,0.30360633,-2.9372833,19.525925,-0.30360633,2.9372833,-19.525925,27.641415,-2.240199,6.9355063,28.236792,1.7062217,-20.645164,54.19374,2.2630818,6.541705,56.347214,6.1848545,-20.794424,59.26907,5.3147964,5.7343984,61.2644,10.6844,-21.663565,62.63699,-10.301932,-10.2032175,65.042625,-7.6644673,-41.40634
307,1,-44.864246,-17.251204,-13.108805,-47.12531,-16.474272,-10.803809,-47.196877,-16.307346,-10.795027,-47.314236,-16.115084,-10.7857685,-47.42909,-15.344013,-18.035446,-47.70096,-14.3806,-18.02906,-48.002632,-13.408436,-18.017302,-47.737823,-11.083615,7.099623,-48.45638,-7.7895308,-26.53605,-43.0154,-14.398478,-5.663747,-43.301495,-13.094765,-15.466348,-37.919033,-1.545016,26.08685,-41.883778,7.15858,-30.346954,-50.280617,-7.204633,53.774757,-58.414165,10.952631,-38.31353,-53.587925,-1.1491308,69.77349,-55.616516,5.441604,-1.3064829,-54.959507,2.2039402,68.65753,-55.346413,4.90602,-2.0734093,-54.488243,2.2820787,67.876526,-53.723515,3.7747855,0.36490172,-53.591812,1.6788635,68.134346,-53.478043,3.9621108,0.10019383,0.29667005,-3.0782592,19.687618,-0.29667005,3.0782506,-19.687618,26.432047,-2.5232944,7.933642,26.910368,1.4723859,-23.571182,52.729694,2.7972715,4.836148,54.743553,7.266124,-25.69971,57.73977,6.0900383,3.646582,59.828514,12.628868,-26.79259,60.62271,-11.810118,-10.66025,62.418526,-8.930631,-45.608395
307,2,-45.19755,-18.541403,-8.06545,-47.64634,-17.737835,-5.4529963,-47.73887,-17.593548,-5.442072,-47.846714,-17.424505,-5.4327354,-47.94805,-16.6509,-13.6716385,-48.22229,-15.781586,-13.674124,-48.50442,-14.914541,-13.666564,-48.31082,-12.55375,12.78549,-48.915638,-9.56591,-25.364605,-43.077503,-15.638248,-0.46104872,-43.323128,-14.302731,-11.576371,-37.940674,-2.0856154,32.8198,-41.9371,6.5064073,-31.335846,-49.325943,-9.7611885,63.290604,-56.904255,8.80841,-32.305973,-53.638863,-4.3216166,78.93677,-55.189236,3.4410038,16.285362,-55.920116,-0.66471815,78.96727,-55.90568,3.072425,17.42209,-55.38969,0.06624749,78.01771,-54.051773,2.089664,19.053701,-54.16811,-0.5688713,77.35741,-53.5019,2.196344,17.876823,0.16487557,-2.6412005,22.065289,-0.16488469,2.6412098,-22.065289,27.45942,-3.7228997,14.3909235,28.679302,-1.6718898,-21.653519,54.93959,4.4519596,13.152003,57.769974,8.097496,-21.91892,60.090847,8.576228,12.166507,63.140823,13.25509,-22.85583,62.180477,-11.264436,-1.024352,64.155334,-9.265239,-41.008015
307,3,-43.829414,-17.80935,-19.383898,-46.12817,-17.854269,-16.421404,-46.140972,-17.884203,-16.406496,-46.176575,-17.900139,-16.404552,-46.52951,-16.358767,-23.292496,-46.7929,-15.395537,-23.290241,-47.0775,-14.4468565,-23.277872,-46.718487,-13.436068,5.312223,-47.90258,-9.121152,-26.840261,-41.928596,-15.459008,-10.566884,-42.418365,-13.599296,-19.939602,-37.905403,-3.4386356,28.80096,-42.065136,5.609419,-29.00874,-46.953358,-19.829237,62.777264,-58.790405,3.826059,-31.568579,-50.981743,-10.039041,85.52503,-54.373795,-1.0402756,16.498436,-53.000305,-7.124917,86.88146,-53.52105,-2.74315,17.957129,-51.265438,-6.9431825,87.105965,-51.225914,-3.1864457,20.55537,-50.93122,-6.9162846,84.72836,-51.36388,-2.8339944,18.30864,-0.07972652,-2.0870793,20.470675,0.07972652,2.0870793,-20.470675,27.77178,-5.2452826,15.859964,29.200586,-4.5451517,-19.756702,55.28798,4.1790137,14.752868,58.198875,6.9876356,-19.683037,60.848064,8.744006,13.910524,63.575882,13.05285,-20.215248,62.581825,-11.821495,2.2620487,64.9309,-10.401631,-35.54756
307,4,-43.905254,-17.447315,-22.278008,-46.05565,-18.466984,-18.452028,-45.964127,-18.687477,-18.43838,-45.885067,-18.904413,-18.439213,-46.720814,-16.774931,-25.609907,-47.11607,-15.791809,-25.609169,-47.56878,-14.689587,-25.598843,-46.385918,-15.344159,6.2256684,-48.73853,-8.756734,-26.98361,-42.052063,-15.344442,-12.379362,-42.839394,-13.064127,-22.052546,-38.017193,-4.9790444,31.860012,-41.96571,6.6325846,-29.386648,-48.315495,-20.632631,65.77475,-59.79167,0.53362733,-27.47246,-53.997272,-11.14454,90.62845,-53.64509,-1.3040931,26.161009,-56.43243,-7.543145,92.336914,-55.535934,-1.2938174,28.703522,-55.073948,-6.1115947,94.90647,-50.477654,-2.3085272,29.88536,-51.818283,-6.999506,90.74804,-50.920654,-1.9449558,27.594734,0.21464977,-4.3130198,22.692472,-0.21464035,4.3130198,-22.692472,28.515512,-11.209816,15.181933,29.592007,-6.8923264,-23.687733,56.73794,2.7517252,14.695949,58.729458,5.884138,-23.893131,60.94324,8.521975,13.86502,64.10196,13.237778,-24.572218,64.70346,-12.412969,0.27051768,66.13302,-9.18816,-42.192623
307,5,-44.702618,-17.91854,-3.5210695,-46.80753,-19.02913,-0.07458434,-46.782597,-19.126701,-0.066750675,-46.802444,-19.211725,-0.07569783,-47.42622,-17.562359,-8.525701,-47.87762,-16.58066,-8.525005,-48.436436,-15.50728,-8.523287,-47.817863,-14.206855,20.196833,-49.890144,-8.998314,-18.840012,-42.881958,-15.656956,4.617033,-43.662647,-13.354514,-6.8297467,-37.46743,-5.3845797,43.387672,-42.48269,8.209545,-28.142006,-38.351147,-24.270739,87.65772,-51.083286,-4.2722716,-33.171017,-50.16347,-18.889061,116.43049,-58.538414,-4.99118,11.25575,-51.185448,-17.093676,120.4038,-60.463543,-4.697079,12.07847,-52.011456,-14.912579,121.67237,-59.06674,-4.658132,12.279544,-51.666553,-14.284721,116.499245,-57.434917,-4.619243,12.093913,0.26290664,-4.700281,23.767303,-0.26291636,4.700281,-23.767303,29.172838,-11.955305,19.386322,30.238125,-8.504655,-23.192852,58.61644,3.3090181,20.668692,60.278683,5.730183,-21.081648,63.573868,8.705804,19.93724,65.86205,13.12552,-21.416721,67.22712,-11.8666315,6.9915423,68.30525,-10.161047,-37.73088
307,6,-47.408035,-19.93107,-2.119583,-49.948956,-19.804539,0.9933709,-50.01773,-19.554752,0.9964344,-50.111725,-19.268633,0.98270345,-50.14908,-18.694902,-7.2784505,-50.382614,-17.594322,-7.277583,-50.65006,-16.420538,-7.2776704,-50.044315,-12.630068,20.50845,-50.768417,-8.6847,-17.482704,-45.151478,-17.203955,5.959769,-45.140686,-15.548258,-5.221845,-38.131344,-6.6043615,42.994343,-41.85651,7.997645,-30.818405,-36.934937,-26.807304,81.64561,-42.69705,-3.7033327,-70.69317,-49.274696,-23.730783,104.54481,-58.31711,-10.037646,-80.97473,-53.880333,-22.554565,109.530365,-61.46643,-10.007367,-85.388214,-54.261124,-20.168337,111.612724,-61.468784,-10.025087,-83.15977,-53.57876,-19.535276,105.56257,-60.377293,-10.113363,-80.084076,0.1425936,-3.9338098,24.150415,-0.1425838,3.9338098,-24.150415,29.779724,-13.573797,17.362097,30.56107,-10.498689,-24.485168,59.3755,2.808583,19.63393,61.33123,5.132546,-20.880947,64.1009,8.258479,18.77183,66.321686,12.104268,-21.168726,66.80411,-13.264974,3.9306645,68.30441,-12.028394,-38.39718
307,7,-47.46705,-24.109413,3.3469067,-49.960613,-23.119467,5.836382,-50.089294,-22.5732,5.8331804,-50.212933,-22.034298,5.8214025,-50.176216,-22.968521,-3.2169049,-50.532715,-22.244507,-3.210742,-50.817863,-21.492985,-3.2177627,-50.035564,-14.167222,22.11254,-50.80167,-13.240151,-19.19355,-45.398075,-21.184004,10.289874,-45.766026,-20.43802,-1.8126376,-37.21302,-5.9350777,44.63291,-42.783566,5.194914,-33.485718,-33.951466,-26.221329,74.706924,-41.57308,-13.364511,-53.07601,-47.263588,-24.868126,81.052635,-54.131115,-18.73678,-32.4805,-50.8779,-23.43535,82.11297,-56.48757,-19.745083,-34.665386,-52.19095,-21.498447,83.79012,-56.720448,-17.338097,-34.06814,-50.912655,-21.138763,81.06446,-55.16313,-16.396633,-31.708548,0.54441315,-2.6663523,25.956621,-0.54442275,2.6663523,-25.956621,28.267046,-17.300568,22.644178,29.365551,-14.228611,-24.83563,57.47707,-0.123658255,26.408035,59.126503,2.793198,-20.41091,62.0938,5.430431,25.736961,64.27163,10.812781,-20.355732,65.149345,-18.54027,13.185689,66.41625,-15.528252,-34.365402
307,8,-46.20594,-29.995056,0.9158179,-49.055653,-29.056173,4.1331058,-49.151363,-28.453222,4.1221676,-49.265747,-27.880577,4.106484,-49.25334,-28.563538,-4.252536,-49.44897,-27.648275,-4.2447367,-49.662758,-26.66868,-4.2388706,-49.567566,-19.580338,22.336521,-50.09352,-18.215734,-16.070213,-43.86535,-26.28097,8.577846,-44.164074,-25.42777,-2.6537821,-36.57009,-12.691541,41.199554,-42.336357,-0.49070078,-29.355637,-35.354137,-34.20335,50.08636,-38.39744,-19.757973,-53.868526,-49.054916,-35.728764,35.36624,-51.349907,-23.098846,-48.541996,-53.72002,-37.06135,33.51859,-54.137157,-22.646704,-51.284454,-53.694153,-32.893215,36.22885,-54.306763,-22.270544,-52.386135,-51.9991,-31.227118,35.401844,-52.70276,-21.66986,-48.38906,0.34511408,-2.3759718,24.471636,-0.34510425,2.3759618,-24.471636,27.21341,-18.142395,15.068727,27.879498,-18.270332,-27.463526,56.90986,-0.094789,14.521744,58.92356,2.978001,-22.92118,62.79754,7.391519,13.505279,64.42325,11.820996,-23.002798,66.151764,-20.45255,2.2608674,66.80476,-16.288946,-36.147545
307,9,-41.655056,-25.053034,23.457735,-44.441463,-25.514835,26.19524,-44.699318,-25.21373,26.17997,-44.974075,-24.901249,26.166174,-44.427525,-25.44642,17.558954,-44.679855,-25.064531,17.564342,-45.096024,-24.192265,17.553465,-46.98475,-18.9212,40.568386,-47.190994,-18.691732,1.427943,-40.90765,-22.332397,29.834763,-40.945827,-22.08402,18.36785,-37.92232,-6.002415,58.17445,-41.687416,-1.8899119,-17.171083,-28.992054,-28.425377,60.06773,-28.033022,-22.255106,-36.842587,-39.60684,-41.302425,39.112984,-40.102478,-24.043083,-28.951252,-43.908615,-44.9848,36.8852,-44.031338,-29.354,-30.166006,-43.929333,-42.570274,39.194218,-44.230522,-21.083998,-31.428402,-42.80698,-40.655514,38.73598,-42.90372,-20.681684,-28.709606,0.59094536,-1.717126,27.451853,-0.59094536,1.7171359,-27.451853,27.647177,-25.214409,8.750153,28.134016,-24.423107,-38.525978,58.736984,-4.1504126,-0.7790065,59.479736,-2.0750394,-43.65908,64.58566,4.086642,-2.7387657,65.076,7.6867766,-44.275948,66.60476,-24.108896,-14.37325,67.447815,-23.70132,-55.990173
